"YearStart","LocationAbbr","LocationDesc","Topic","Question","Stratification1","Lon","Lat"
2013,"MA","Massachusetts","Cancer","Cancer of the colon and rectum (colorectal), mortality","Asian or Pacific Islander",-72.0826906749996,42.2768704700005
2017,"MS","Mississippi","Nutrition, Physical Activity, and Weight Status","Television viewing among high school students","Overall",-89.5380308249997,32.7455100990005
2010,"PA","Pennsylvania","Chronic Kidney Disease","Mortality with end-stage renal disease","Asian or Pacific Islander",-77.8607002939996,40.7937301520005
2012,"MI","Michigan","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Black, non-Hispanic",-84.7143902699997,44.6613195430005
2017,"LA","Louisiana","Tobacco","Current smokeless tobacco use among adults aged >= 18 years","Female",-92.4456800709997,31.3126606440005
2012,"AK","Alaska","Diabetes","Mortality due to diabetes reported as any listed cause of death","White, non-Hispanic",-147.722059036,64.8450799570005
2020,"OK","Oklahoma","Alcohol","Binge drinking intensity among adults aged >= 18 years who binge drink","White, non-Hispanic",-97.5210702139997,35.4720313560005
2020,"MD","Maryland","Tobacco","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke","White, non-Hispanic",-76.6092601109996,39.2905809640005
2019,"WY","Wyoming","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Hispanic",-108.109830353,43.2355413430005
2016,"OK","Oklahoma","Asthma","Hospitalizations for asthma","White, non-Hispanic",-97.5210702139997,35.4720313560005
2015,"SC","South Carolina","Overarching Conditions","Poverty","Female",-81.0453712069997,33.9988213030005
2014,"RI","Rhode Island","Reproductive Health","Postpartum checkup","Other, non-Hispanic",-71.5224703139996,41.7082801930005
2013,"AL","Alabama","Reproductive Health","Timeliness of routine health care checkup among women aged 18-44 years","White, non-Hispanic",-86.6318607619997,32.8405711220005
2019,"WV","West Virginia","Alcohol","Alcohol use among youth","White, non-Hispanic",-80.7126401349997,38.6655102020005
2016,"MN","Minnesota","Chronic Obstructive Pulmonary Disease","Prevalence of chronic obstructive pulmonary disease among adults >= 18","Overall",-94.7942005029997,46.3556487360005
2018,"DE","Delaware","Chronic Obstructive Pulmonary Disease","Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease","Hispanic",-75.5777411679996,39.0088306670005
2015,"WY","Wyoming","Cancer","Invasive cancer of the cervix, incidence","American Indian or Alaska Native",-108.109830353,43.2355413430005
2013,"NM","New Mexico","Cardiovascular Disease","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease","Overall",-106.240580985,34.5208809520005
2010,"OK","Oklahoma","Cardiovascular Disease","Mortality from diseases of the heart","Overall",-97.5210702139997,35.4720313560005
2014,"NE","Nebraska","Cardiovascular Disease","Hospitalization for heart failure among Medicare-eligible persons aged >= 65 years","Male",-99.3657206229997,41.6410409880005
2013,"MS","Mississippi","Cancer","Cancer of the prostate, mortality","White, non-Hispanic",-89.5380308249997,32.7455100990005
2017,"ID","Idaho","Tobacco","Quit attempts in the past year among current smokers","Multiracial, non-Hispanic",-114.363730042,43.6826300050005
2015,"IL","Illinois","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years","Overall",-88.9977101779997,40.4850102830005
2014,"NV","Nevada","Cancer","Invasive cancer (all sites combined), incidence","Hispanic",-117.071840564,39.4932403900005
2016,"NV","Nevada","Cardiovascular Disease","Mortality from diseases of the heart","Female",-117.071840564,39.4932403900005
2018,"NJ","New Jersey","Arthritis","Arthritis among adults aged >= 18 years","Other, non-Hispanic",-74.2736912879997,40.1305700480005
2011,"HI","Hawaii","Cardiovascular Disease","Mortality from total cardiovascular diseases","Asian or Pacific Islander",-157.857749403,21.3048504350004
2013,"PR","Puerto Rico","Tobacco","Current cigarette smoking among women aged 18-44 years","Overall",-66.590149,18.220833
2014,"ME","Maine","Chronic Kidney Disease","Mortality with end-stage renal disease","Female",-68.9850313359996,45.2542288940005
2018,"SD","South Dakota","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Asian or Pacific Islander",-100.373530637,44.3531300530005
2012,"VA","Virginia","Cancer","Invasive melanoma, incidence","Male",-78.4578904629997,37.5426806740005
2019,"TX","Texas","Alcohol","Chronic liver disease mortality","White, non-Hispanic",-99.4267702059997,31.8272404070005
2015,"IA","Iowa","Asthma","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma","White, non-Hispanic",-93.8164905559997,42.4694009130005
2018,"AK","Alaska","Asthma","Current asthma prevalence among adults aged >= 18 years","Multiracial, non-Hispanic",-147.722059036,64.8450799570005
2015,"SD","South Dakota","Chronic Obstructive Pulmonary Disease","Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years","Black, non-Hispanic",-100.373530637,44.3531300530005
2015,"LA","Louisiana","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Multiracial, non-Hispanic",-92.4456800709997,31.3126606440005
2015,"AL","Alabama","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Other, non-Hispanic",-86.6318607619997,32.8405711220005
2011,"DE","Delaware","Cancer","Cancer of the lung and bronchus, incidence","White, non-Hispanic",-75.5777411679996,39.0088306670005
2016,"LA","Louisiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","Overall",-92.4456800709997,31.3126606440005
2010,"DC","District of Columbia","Cancer","Cancer of the lung and bronchus, mortality","Male",-77.036871,38.907192
2012,"IA","Iowa","Overarching Conditions","Recent physically unhealthy days among adults aged >= 18 years","Female",-93.8164905559997,42.4694009130005
2014,"MT","Montana","Cancer","Cancer of the oral cavity and pharynx, mortality","American Indian or Alaska Native",-109.424420645,47.0665289720005
2012,"FL","Florida","Diabetes","Influenza vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Multiracial, non-Hispanic",-81.9289605389997,28.9320403770005
2013,"MD","Maryland","Cancer","Cancer of the colon and rectum (colorectal), incidence","Overall",-76.6092601109996,39.2905809640005
2011,"HI","Hawaii","Arthritis","Arthritis among adults aged >= 18 years who have heart disease","Black, non-Hispanic",-157.857749403,21.3048504350004
2019,"IL","Illinois","Nutrition, Physical Activity, and Weight Status","Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years","Overall",-88.9977101779997,40.4850102830005
2011,"ME","Maine","Cardiovascular Disease","Cholesterol screening among adults aged >= 18 years","Black, non-Hispanic",-68.9850313359996,45.2542288940005
2017,"NV","Nevada","Overarching Conditions","Prevalence of sufficient sleep among adults aged >= 18 years","Multiracial, non-Hispanic",-117.071840564,39.4932403900005
2011,"NC","North Carolina","Cardiovascular Disease","Mortality from diseases of the heart","Male",-79.1592504629996,35.4662209750005
2018,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","American Indian or Alaska Native",-114.363730042,43.6826300050005
2012,"KS","Kansas","Cancer","Invasive cancer of the prostate, incidence","Female",-98.2007812269997,38.3477403000005
2011,"MO","Missouri","Alcohol","Binge drinking intensity among adults aged >= 18 years who binge drink","Male",-92.5663000529997,38.6357907760005
2021,"MD","Maryland","Diabetes","Dilated eye examination among adults aged >= 18 years with diagnosed diabetes","Other, non-Hispanic",-76.6092601109996,39.2905809640005
2011,"HI","Hawaii","Chronic Obstructive Pulmonary Disease","Mortality with chronic obstructive pulmonary disease as underlying or contributing cause among adults aged >= 45 years","American Indian or Alaska Native",-157.857749403,21.3048504350004
2021,"CA","California","Overarching Conditions","Recent activity limitation among adults aged >= 18 years","Overall",-120.999999538,37.6386401230005
2011,"DC","District of Columbia","Nutrition, Physical Activity, and Weight Status","Overweight or obesity among women aged 18-44 years","Black, non-Hispanic",-77.036871,38.907192
2019,"MO","Missouri","Diabetes","Foot examination among adults aged >= 18 years with diagnosed diabetes","Black, non-Hispanic",-92.5663000529997,38.6357907760005
2019,"MA","Massachusetts","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","White, non-Hispanic",-72.0826906749996,42.2768704700005
2011,"IL","Illinois","Diabetes","Mortality due to diabetes reported as any listed cause of death","White, non-Hispanic",-88.9977101779997,40.4850102830005
2017,"AK","Alaska","Cardiovascular Disease","Mortality from total cardiovascular diseases","Asian or Pacific Islander",-147.722059036,64.8450799570005
2014,"LA","Louisiana","Older Adults","Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services","Male",-92.4456800709997,31.3126606440005
2018,"MD","Maryland","Older Adults","Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services","Overall",-76.6092601109996,39.2905809640005
2017,"MA","Massachusetts","Chronic Obstructive Pulmonary Disease","Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease","Hispanic",-72.0826906749996,42.2768704700005
2018,"NY","New York","Chronic Obstructive Pulmonary Disease","Prevalence of current smoking among adults >= 45 years with diagnosed chronic obstructive pulmonary disease","Hispanic",-75.5439704269996,42.8270010320005
2016,"VA","Virginia","Cardiovascular Disease","Hospitalization for acute myocardial infarction","White, non-Hispanic",-78.4578904629997,37.5426806740005
2012,"AK","Alaska","Alcohol","Binge drinking intensity among adults aged >= 18 years who binge drink","Black, non-Hispanic",-147.722059036,64.8450799570005
2014,"TX","Texas","Cancer","Invasive melanoma, incidence","Female",-99.4267702059997,31.8272404070005
2015,"SD","South Dakota","Arthritis","Arthritis among adults aged >= 18 years who are obese","Male",-100.373530637,44.3531300530005
2020,"KS","Kansas","Nutrition, Physical Activity, and Weight Status","Obesity among adults aged >= 18 years","Hispanic",-98.2007812269997,38.3477403000005
2018,"MA","Massachusetts","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis","Black, non-Hispanic",-72.0826906749996,42.2768704700005
2016,"NC","North Carolina","Older Adults","Proportion of older adults aged 50-64 years who are up to date on a core set of clinical preventive services","White, non-Hispanic",-79.1592504629996,35.4662209750005
2016,"MI","Michigan","Chronic Obstructive Pulmonary Disease","Prevalence of activity limitation among adults >= 45 years with diagnosed chronic obstructive pulmonary disease","Overall",-84.7143902699997,44.6613195430005
2019,"OR","Oregon","Chronic Obstructive Pulmonary Disease","Prevalence of chronic obstructive pulmonary disease among adults >= 45 years","Multiracial, non-Hispanic",-120.155031326,44.5674494240005
2017,"TX","Texas","Cardiovascular Disease","Mortality from heart failure","White, non-Hispanic",-99.4267702059997,31.8272404070005
2015,"NE","Nebraska","Chronic Obstructive Pulmonary Disease","Prevalence of chronic obstructive pulmonary disease among adults >= 18","Female",-99.3657206229997,41.6410409880005
2014,"ID","Idaho","Cardiovascular Disease","Mortality from coronary heart disease","Overall",-114.363730042,43.6826300050005
2020,"PA","Pennsylvania","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Male",-77.8607002939996,40.7937301520005
2010,"MD","Maryland","Diabetes","Mortality due to diabetes reported as any listed cause of death","Female",-76.6092601109996,39.2905809640005
2016,"MS","Mississippi","Overarching Conditions","Prevalence of sufficient sleep among adults aged >= 18 years","Hispanic",-89.5380308249997,32.7455100990005
2019,"CA","California","Chronic Obstructive Pulmonary Disease","Pneumococcal vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease","Hispanic",-120.999999538,37.6386401230005
2012,"MS","Mississippi","Tobacco","Current cigarette smoking among women aged 18-44 years","Overall",-89.5380308249997,32.7455100990005
2018,"MA","Massachusetts","Alcohol","Binge drinking intensity among adults aged >= 18 years who binge drink","White, non-Hispanic",-72.0826906749996,42.2768704700005
2016,"MD","Maryland","Diabetes","Adults with diagnosed diabetes aged >= 18 years who have taken a diabetes self-management course","White, non-Hispanic",-76.6092601109996,39.2905809640005
2017,"NJ","New Jersey","Cardiovascular Disease","High cholesterol prevalence among adults aged >= 18 years","Hispanic",-74.2736912879997,40.1305700480005
2019,"MN","Minnesota","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","Asian or Pacific Islander",-94.7942005029997,46.3556487360005
2016,"MN","Minnesota","Asthma","Emergency department visit rate for asthma","Black, non-Hispanic",-94.7942005029997,46.3556487360005
2018,"MT","Montana","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis","White, non-Hispanic",-109.424420645,47.0665289720005
2014,"GU","Guam","Oral Health","Six or more teeth lost among adults aged >= 65 years","Male",144.793731,13.444304
2017,"DC","District of Columbia","Diabetes","Dilated eye examination among adults aged >= 18 years with diagnosed diabetes","Hispanic",-77.036871,38.907192
2021,"MA","Massachusetts","Nutrition, Physical Activity, and Weight Status","Healthy weight among adults aged >= 18 years","Other, non-Hispanic",-72.0826906749996,42.2768704700005
2018,"KY","Kentucky","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","Overall",-84.7749710479997,37.6459702710005
2013,"IA","Iowa","Overarching Conditions","Fair or poor self-rated health status among adults aged >= 18 years","Other, non-Hispanic",-93.8164905559997,42.4694009130005
2010,"CA","California","Asthma","Asthma mortality rate","Overall",-120.999999538,37.6386401230005
2013,"AZ","Arizona","Arthritis","Fair or poor health among adults aged >= 18 years with arthritis","Other, non-Hispanic",-111.763811277,34.8659702800005
2016,"ME","Maine","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Black, non-Hispanic",-68.9850313359996,45.2542288940005
2018,"MT","Montana","Asthma","Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma","Hispanic",-109.424420645,47.0665289720005
2020,"DC","District of Columbia","Asthma","Asthma mortality rate","Asian or Pacific Islander",-77.036871,38.907192
2020,"LA","Louisiana","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years","Hispanic",-92.4456800709997,31.3126606440005
2016,"ME","Maine","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Overall",-68.9850313359996,45.2542288940005
2020,"AZ","Arizona","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Male",-111.763811277,34.8659702800005
2008,"TX","Texas","Cancer","Cancer of the prostate, mortality","Asian or Pacific Islander",-99.4267702059997,31.8272404070005
2015,"MN","Minnesota","Cardiovascular Disease","Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke","White, non-Hispanic",-94.7942005029997,46.3556487360005
2021,"MI","Michigan","Arthritis","Arthritis among adults aged >= 18 years","Overall",-84.7143902699997,44.6613195430005
2015,"MN","Minnesota","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","American Indian or Alaska Native",-94.7942005029997,46.3556487360005
2015,"IN","Indiana","Diabetes","Mortality due to diabetes reported as any listed cause of death","American Indian or Alaska Native",-86.1499601939997,39.7669104520004
2013,"NY","New York","Cancer","Invasive melanoma, incidence","Male",-75.5439704269996,42.8270010320005
2012,"NY","New York","Diabetes","Mortality with diabetic ketoacidosis reported as any listed cause of death","White, non-Hispanic",-75.5439704269996,42.8270010320005
2011,"SD","South Dakota","Chronic Obstructive Pulmonary Disease","Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years","Male",-100.373530637,44.3531300530005
2012,"CT","Connecticut","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as any diagnosis among Medicare-eligible persons aged >= 65 years","Hispanic",-72.6498409519996,41.5626610200005
2016,"RI","Rhode Island","Nutrition, Physical Activity, and Weight Status","No leisure-time physical activity among adults aged >= 18 years","Overall",-71.5224703139996,41.7082801930005
2014,"UT","Utah","Oral Health","Preventive dental care before pregnancy","Black, non-Hispanic",-111.587130635,39.3607001710005
2021,"OH","Ohio","Arthritis","Arthritis among adults aged >= 18 years","Overall",-82.4042600559997,40.0602101410005
2012,"CO","Colorado","Cancer","Cancer of the female cervix, mortality","Male",-106.133610921,38.8438407570005
2010,"DE","Delaware","Asthma","Asthma mortality rate","American Indian or Alaska Native",-75.5777411679996,39.0088306670005
2016,"IL","Illinois","Alcohol","Binge drinking frequency among adults aged >= 18 years who binge drink","Other, non-Hispanic",-88.9977101779997,40.4850102830005
2021,"DE","Delaware","Overarching Conditions","Recent physically unhealthy days among adults aged >= 18 years","Other, non-Hispanic",-75.5777411679996,39.0088306670005
2011,"AR","Arkansas","Diabetes","Influenza vaccination among noninstitutionalized adults aged >= 65 years with diagnosed diabetes","White, non-Hispanic",-92.2744907429997,34.7486501240004
2013,"OK","Oklahoma","Tobacco","Current smokeless tobacco use among adults aged >= 18 years","Hispanic",-97.5210702139997,35.4720313560005
2014,"CO","Colorado","Cancer","Invasive cancer of the female breast, incidence","Black, non-Hispanic",-106.133610921,38.8438407570005
2017,"MA","Massachusetts","Overarching Conditions","Prevalence of sufficient sleep among adults aged >= 18 years","Other, non-Hispanic",-72.0826906749996,42.2768704700005
2010,"AZ","Arizona","Cardiovascular Disease","Mortality from heart failure","White, non-Hispanic",-111.763811277,34.8659702800005
2012,"UT","Utah","Alcohol","Chronic liver disease mortality","Overall",-111.587130635,39.3607001710005
2017,"AR","Arkansas","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis","Male",-92.2744907429997,34.7486501240004
2015,"OR","Oregon","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Female",-120.155031326,44.5674494240005
2021,"OR","Oregon","Tobacco","Current smokeless tobacco use among adults aged >= 18 years","Multiracial, non-Hispanic",-120.155031326,44.5674494240005
2016,"CA","California","Cardiovascular Disease","Influenza vaccination among noninstitutionalized adults aged 18-64 years with a history of coronary heart disease or stroke","Multiracial, non-Hispanic",-120.999999538,37.6386401230005
2019,"NV","Nevada","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Female",-117.071840564,39.4932403900005
2019,"MT","Montana","Alcohol","Binge drinking prevalence among adults aged >= 18 years","Female",-109.424420645,47.0665289720005
2017,"NM","New Mexico","Asthma","Asthma mortality rate","Asian or Pacific Islander",-106.240580985,34.5208809520005
2020,"HI","Hawaii","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years","White, non-Hispanic",-157.857749403,21.3048504350004
2010,"FL","Florida","Nutrition, Physical Activity, and Weight Status","State child care regulation supports onsite breastfeeding","Overall",-81.9289605389997,28.9320403770005
2021,"NE","Nebraska","Arthritis","Arthritis among adults aged >= 18 years who have diabetes","White, non-Hispanic",-99.3657206229997,41.6410409880005
2018,"MT","Montana","Overarching Conditions","Fair or poor self-rated health status among adults aged >= 18 years","Hispanic",-109.424420645,47.0665289720005
2008,"LA","Louisiana","Cancer","Invasive cancer of the prostate, incidence","Female",-92.4456800709997,31.3126606440005
2018,"DE","Delaware","Cardiovascular Disease","Mortality from heart failure","White, non-Hispanic",-75.5777411679996,39.0088306670005
2015,"MD","Maryland","Arthritis","Arthritis among adults aged >= 18 years who have heart disease","Overall",-76.6092601109996,39.2905809640005
2016,"IA","Iowa","Asthma","Influenza vaccination among noninstitutionalized adults aged >= 65 years with asthma","White, non-Hispanic",-93.8164905559997,42.4694009130005
2017,"SD","South Dakota","Arthritis","Arthritis among adults aged >= 18 years who have heart disease","Multiracial, non-Hispanic",-100.373530637,44.3531300530005
2013,"TN","Tennessee","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Black, non-Hispanic",-85.7744909139997,35.6809405800005
2019,"IA","Iowa","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Multiracial, non-Hispanic",-93.8164905559997,42.4694009130005
2014,"AK","Alaska","Chronic Obstructive Pulmonary Disease","Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease","Multiracial, non-Hispanic",-147.722059036,64.8450799570005
2016,"OR","Oregon","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis","Overall",-120.155031326,44.5674494240005
2014,"CA","California","Cardiovascular Disease","Hospitalization for stroke","Female",-120.999999538,37.6386401230005
2020,"ID","Idaho","Diabetes","Visits to dentist or dental clinic among adults aged >= 18 years with diagnosed diabetes","Black, non-Hispanic",-114.363730042,43.6826300050005
2014,"SC","South Carolina","Overarching Conditions","High school completion among adults aged 18-24 years","Overall",-81.0453712069997,33.9988213030005
2017,"ND","North Dakota","Diabetes","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with diagnosed diabetes","Hispanic",-100.118421049,47.4753197790005
2019,"MS","Mississippi","Chronic Kidney Disease","Mortality with end-stage renal disease","American Indian or Alaska Native",-89.5380308249997,32.7455100990005
2015,"ID","Idaho","Tobacco","Current cigarette smoking among women aged 18-44 years","Hispanic",-114.363730042,43.6826300050005
2013,"AZ","Arizona","Nutrition, Physical Activity, and Weight Status","Overweight or obesity among women aged 18-44 years","Overall",-111.763811277,34.8659702800005
2013,"IA","Iowa","Diabetes","Mortality due to diabetes reported as any listed cause of death","American Indian or Alaska Native",-93.8164905559997,42.4694009130005
2021,"ND","North Dakota","Overarching Conditions","Recent activity limitation among adults aged >= 18 years","White, non-Hispanic",-100.118421049,47.4753197790005
2016,"CA","California","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Black, non-Hispanic",-120.999999538,37.6386401230005
2019,"AR","Arkansas","Alcohol","Binge drinking intensity among adults aged >= 18 years who binge drink","Male",-92.2744907429997,34.7486501240004
2020,"KY","Kentucky","Chronic Obstructive Pulmonary Disease","Influenza vaccination among noninstitutionalized adults aged >= 45 years with chronic obstructive pulmonary disease","Overall",-84.7749710479997,37.6459702710005
2013,"OH","Ohio","Mental Health","Recent mentally unhealthy days among adults aged >= 18 years","Other, non-Hispanic",-82.4042600559997,40.0602101410005
2014,"DE","Delaware","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis","Female",-75.5777411679996,39.0088306670005
2010,"WI","Wisconsin","Cancer","Invasive cancer of the female breast, incidence","White, non-Hispanic",-89.8163707419997,44.3931911740005
2020,"IN","Indiana","Cancer","Recent Papanicolaou smear use among women aged 21-44 years","White, non-Hispanic",-86.1499601939997,39.7669104520004
2016,"KS","Kansas","Cardiovascular Disease","Mortality from coronary heart disease","American Indian or Alaska Native",-98.2007812269997,38.3477403000005
2011,"AL","Alabama","Cardiovascular Disease","High cholesterol prevalence among adults aged >= 18 years","Female",-86.6318607619997,32.8405711220005
2017,"MD","Maryland","Nutrition, Physical Activity, and Weight Status","Healthy weight among adults aged >= 18 years","Hispanic",-76.6092601109996,39.2905809640005
2016,"MA","Massachusetts","Chronic Obstructive Pulmonary Disease","Prevalence of activity limitation among adults >= 18 with diagnosed chronic obstructive pulmonary disease","Other, non-Hispanic",-72.0826906749996,42.2768704700005
2014,"IL","Illinois","Alcohol","Binge drinking prevalence among adults aged >= 18 years","Multiracial, non-Hispanic",-88.9977101779997,40.4850102830005
2013,"UT","Utah","Asthma","Asthma mortality rate","Asian or Pacific Islander",-111.587130635,39.3607001710005
2019,"CT","Connecticut","Overarching Conditions","Premature mortality among adults aged 45-64 years","Overall",-72.6498409519996,41.5626610200005
2020,"MD","Maryland","Oral Health","Preventive dental care before pregnancy","Overall",-76.6092601109996,39.2905809640005
2017,"IL","Illinois","Nutrition, Physical Activity, and Weight Status","Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years","Hispanic",-88.9977101779997,40.4850102830005
2014,"RI","Rhode Island","Diabetes","Prevalence of diagnosed diabetes among adults aged >= 18 years","Other, non-Hispanic",-71.5224703139996,41.7082801930005
2017,"NM","New Mexico","Chronic Obstructive Pulmonary Disease","Hospitalization for chronic obstructive pulmonary disease as first-listed diagnosis","Male",-106.240580985,34.5208809520005
2016,"LA","Louisiana","Nutrition, Physical Activity, and Weight Status","Healthy weight among adults aged >= 18 years","Black, non-Hispanic",-92.4456800709997,31.3126606440005
2016,"MT","Montana","Cardiovascular Disease","Mortality from heart failure","Female",-109.424420645,47.0665289720005
2011,"NJ","New Jersey","Asthma","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with asthma","Male",-74.2736912879997,40.1305700480005
2013,"ME","Maine","Cancer","Cancer of the prostate, mortality","Female",-68.9850313359996,45.2542288940005
2019,"FL","Florida","Overarching Conditions","Poverty among women aged 18-44 years","Overall",-81.9289605389997,28.9320403770005
2011,"IN","Indiana","Overarching Conditions","High school completion among adults aged 18-24 years","Overall",-86.1499601939997,39.7669104520004
2013,"MS","Mississippi","Chronic Obstructive Pulmonary Disease","Mortality with chronic obstructive pulmonary disease as underlying cause among adults aged >= 45 years","Overall",-89.5380308249997,32.7455100990005
2012,"WI","Wisconsin","Cancer","Cancer of the colon and rectum (colorectal), mortality","Asian or Pacific Islander",-89.8163707419997,44.3931911740005
2013,"CT","Connecticut","Cancer","Cancer of the colon and rectum (colorectal), mortality","White, non-Hispanic",-72.6498409519996,41.5626610200005
2017,"SD","South Dakota","Chronic Obstructive Pulmonary Disease","Emergency department visit rate for chronic obstructive pulmonary disease as first-listed diagnosis","Hispanic",-100.373530637,44.3531300530005
2015,"MD","Maryland","Cardiovascular Disease","Mortality from total cardiovascular diseases","Overall",-76.6092601109996,39.2905809640005
2016,"IA","Iowa","Cardiovascular Disease","Mortality from diseases of the heart","White, non-Hispanic",-93.8164905559997,42.4694009130005
2020,"OK","Oklahoma","Diabetes","Mortality due to diabetes reported as any listed cause of death","Overall",-97.5210702139997,35.4720313560005
2017,"IL","Illinois","Cardiovascular Disease","Mortality from cerebrovascular disease (stroke)","Female",-88.9977101779997,40.4850102830005
2017,"PA","Pennsylvania","Cardiovascular Disease","Awareness of high blood pressure among adults aged >= 18 years","Female",-77.8607002939996,40.7937301520005
2016,"GA","Georgia","Cardiovascular Disease","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years with a history of coronary heart disease","Male",-83.6275803459997,32.8396810930005
2012,"ME","Maine","Tobacco","Pneumococcal vaccination among noninstitutionalized adults aged >= 65 years who smoke","Male",-68.9850313359996,45.2542288940005
2011,"PR","Puerto Rico","Overarching Conditions","Recent activity limitation among adults aged >= 18 years","Black, non-Hispanic",-66.590149,18.220833
2011,"IN","Indiana","Cancer","Invasive cancer (all sites combined), mortality","White, non-Hispanic",-86.1499601939997,39.7669104520004
2018,"UT","Utah","Cardiovascular Disease","Mortality from coronary heart disease","Overall",-111.587130635,39.3607001710005
2014,"ND","North Dakota","Tobacco","Current smoking among adults aged >= 18 years","Female",-100.118421049,47.4753197790005
2015,"ID","Idaho","Diabetes","Mortality due to diabetes reported as any listed cause of death","Male",-114.363730042,43.6826300050005
2014,"DE","Delaware","Oral Health","Visits to dentist or dental clinic among adults aged >= 18 years","Multiracial, non-Hispanic",-75.5777411679996,39.0088306670005
2012,"MT","Montana","Alcohol","Chronic liver disease mortality","Overall",-109.424420645,47.0665289720005
2011,"NC","North Carolina","Asthma","Pneumococcal vaccination among noninstitutionalized adults aged 18-64 years with asthma","Male",-79.1592504629996,35.4662209750005
2010,"MS","Mississippi","Diabetes","Mortality due to diabetes reported as any listed cause of death","Male",-89.5380308249997,32.7455100990005
2015,"WY","Wyoming","Cancer","Invasive cancer of the oral cavity or pharynx, incidence","Female",-108.109830353,43.2355413430005
2018,"RI","Rhode Island","Asthma","Asthma mortality rate","Overall",-71.5224703139996,41.7082801930005
2021,"SD","South Dakota","Diabetes","Prevalence of high cholesterol among adults aged >= 18 years with diagnosed diabetes","Overall",-100.373530637,44.3531300530005
2013,"MS","Mississippi","Nutrition, Physical Activity, and Weight Status","Meeting aerobic physical activity guidelines for substantial health benefits among adults aged >= 18 years","Female",-89.5380308249997,32.7455100990005
